era,nationality,kit_count
Древний мир,Italian,155
Древний мир,Greek,44
Древний мир,Persian,29
Древний мир,French,17
Древний мир,Celtic,16
Древний мир,Egyptian,16
Древний мир,German,16
Древний мир,Syrian,16
Древний мир,Iraqi,14
Древний мир,Carthaginian,13
Древний мир,Macedonian,13
Древний мир,Romanian,13
Древний мир,Assyrian,12
Древний мир,Spanish,12
Древний мир,Dacian,11
Древний мир,Tunisian,10
Древний мир,British,9
Древний мир,Indian,9
Древний мир,Turkish,9
Древний мир,Ukrainian,9
Древний мир,Algerian,7
Древний мир,CeltIberian,7
Древний мир,Israeli,6
Древний мир,Russian,6
Древний мир,Scythian,6
Древний мир,Chinese,5
Древний мир,Libyan,5
Древний мир,Parthian,5
Древний мир,Goth,4
Древний мир,Polish,4
Древний мир,Sarmatian,4
Древний мир,Sassanian,4
Древний мир,Sea People,4
Древний мир,Afghan,3
Древний мир,Albanian,3
Древний мир,Anatolian,3
Древний мир,Bulgarian,3
Древний мир,Epirote,3
Древний мир,Gaul,3
Древний мир,Hittite,3
Древний мир,Mycenaean,3
Древний мир,Seleucid,3
Древний мир,Uzbek,3
Древний мир,Hun,2
Древний мир,Nubian,2
Древний мир,Portuguese,2
Древний мир,Sudanese,2
Древний мир,Sumerian,2
Древний мир,Tajik,2
Древний мир,Thracian,2
Древний мир,Trojan,2
Древний мир,Arab,1
Древний мир,Aramaic,1
Древний мир,Armenian,1
Древний мир,Belgian,1
Древний мир,Dutch,1
Древний мир,Emirati,1
Древний мир,Etruscan,1
Древний мир,Harappan,1
Древний мир,Kazak,1
Древний мир,Mexican,1
Древний мир,Minoan,1
Древний мир,Mitannian,1
Древний мир,Numidian,1
Древний мир,Omani,1
Древний мир,Pakistani,1
Древний мир,Palestinian,1
Древний мир,Phrygian,1
Древний мир,Pontic,1
Древний мир,Saxon,1
Древний мир,Turkmenistani,1
Древний мир,USA,1
Древний мир,Urartu,1
Древний мир,Almoravid,0
Древний мир,Andalusian,0
Древний мир,Anglo-Saxon,0
Древний мир,Australian,0
Древний мир,Austrian,0
Древний мир,Aztec,0
Древний мир,Bavarian,0
Древний мир,Belize,0
Древний мир,Boer,0
Древний мир,Bohemian,0
Древний мир,Bosnian,0
Древний мир,Breton,0
Древний мир,Brunswick,0
Древний мир,Burgundian,0
Древний мир,Burundi,0
Древний мир,Cameroonian,0
Древний мир,Canadian,0
Древний мир,Confederate,0
Древний мир,Cossack,0
Древний мир,Crimean,0
Древний мир,Croatian,0
Древний мир,Cuman,0
Древний мир,Czech,0
Древний мир,Danish,0
Древний мир,East German,0
Древний мир,Estonian,0
Древний мир,Finnish,0
Древний мир,Frankish,0
Древний мир,Georgian,0
Древний мир,Guatamalan,0
Древний мир,Hessian,0
Древний мир,Hungarian,0
Древний мир,Hussite,0
Древний мир,Incan,0
Древний мир,Irish,0
Древний мир,Japanese,0
Древний мир,Kazakhstani,0
Древний мир,Kenyan,0
Древний мир,Khazar,0
Древний мир,Korean,0
Древний мир,Kyrgyzstani,0
Древний мир,Latvian,0
Древний мир,Lithuanian,0
Древний мир,Livonian,0
Древний мир,Mayan,0
Древний мир,Mongolian,0
Древний мир,Moroccan,0
Древний мир,Nassau,0
Древний мир,Nepalese,0
Древний мир,New Zealand,0
Древний мир,Norman,0
Древний мир,North Korean,0
Древний мир,Norwegian,0
Древний мир,Pecheneg,0
Древний мир,Peruvian,0
Древний мир,Pictish,0
Древний мир,Rifian,0
Древний мир,Rwandan,0
Древний мир,Scottish,0
Древний мир,Serbian,0
Древний мир,Slav,0
Древний мир,Somalian,0
Древний мир,South African,0
Древний мир,South Korean,0
Древний мир,South Vietnamese,0
Древний мир,Swedish,0
Древний мир,Swiss,0
Древний мир,Tajikistani,0
Древний мир,Tanzanian,0
Древний мир,Tatar,0
Древний мир,Teutonic,0
Древний мир,Texian,0
Древний мир,Vietnamese,0
Древний мир,Viking,0
Древний мир,W&uuml;rttemberg,0
Древний мир,Wallacian,0
Древний мир,Welsh,0
Древний мир,Yugoslavian,0
Древний мир,Zulu,0
Средневековье,British,49
Средневековье,French,45
Средневековье,Russian,36
Средневековье,German,35
Средневековье,Turkish,30
Средневековье,Japanese,29
Средневековье,Spanish,28
Средневековье,Italian,23
Средневековье,Greek,15
Средневековье,Norman,11
Средневековье,Swiss,10
Средневековье,Ukrainian,10
Средневековье,Danish,9
Средневековье,Norwegian,9
Средневековье,Scottish,9
Средневековье,Swedish,9
Средневековье,Viking,9
Средневековье,Anglo-Saxon,8
Средневековье,Burgundian,7
Средневековье,Frankish,7
Средневековье,Korean,7
Средневековье,Chinese,6
Средневековье,Egyptian,6
Средневековье,Lithuanian,6
Средневековье,Syrian,6
Средневековье,Arab,5
Средневековье,Mongolian,5
Средневековье,Albanian,4
Средневековье,Andalusian,4
Средневековье,Czech,4
Средневековье,Iraqi,4
Средневековье,Mexican,4
Средневековье,Polish,4
Средневековье,Teutonic,4
Средневековье,Almoravid,3
Средневековье,Aztec,3
Средневековье,Cossack,3
Средневековье,Dutch,3
Средневековье,Hussite,3
Средневековье,Irish,3
Средневековье,North Korean,3
Средневековье,Serbian,3
Средневековье,South Korean,3
Средневековье,Algerian,2
Средневековье,Cuman,2
Средневековье,Hun,2
Средневековье,Moroccan,2
Средневековье,Pictish,2
Средневековье,Romanian,2
Средневековье,Saxon,2
Средневековье,USA,2
Средневековье,Belize,1
Средневековье,Bohemian,1
Средневековье,Bosnian,1
Средневековье,Breton,1
Средневековье,Bulgarian,1
Средневековье,Croatian,1
Средневековье,Georgian,1
Средневековье,Guatamalan,1
Средневековье,Hungarian,1
Средневековье,Incan,1
Средневековье,Khazar,1
Средневековье,Latvian,1
Средневековье,Livonian,1
Средневековье,Mayan,1
Средневековье,Pecheneg,1
Средневековье,Peruvian,1
Средневековье,Slav,1
Средневековье,Tatar,1
Средневековье,Tunisian,1
Средневековье,Wallacian,1
Средневековье,Welsh,1
Средневековье,Afghan,0
Средневековье,Anatolian,0
Средневековье,Aramaic,0
Средневековье,Armenian,0
Средневековье,Assyrian,0
Средневековье,Australian,0
Средневековье,Austrian,0
Средневековье,Bavarian,0
Средневековье,Belgian,0
Средневековье,Boer,0
Средневековье,Brunswick,0
Средневековье,Burundi,0
Средневековье,Cameroonian,0
Средневековье,Canadian,0
Средневековье,Carthaginian,0
Средневековье,CeltIberian,0
Средневековье,Celtic,0
Средневековье,Confederate,0
Средневековье,Crimean,0
Средневековье,Dacian,0
Средневековье,East German,0
Средневековье,Emirati,0
Средневековье,Epirote,0
Средневековье,Estonian,0
Средневековье,Etruscan,0
Средневековье,Finnish,0
Средневековье,Gaul,0
Средневековье,Goth,0
Средневековье,Harappan,0
Средневековье,Hessian,0
Средневековье,Hittite,0
Средневековье,Indian,0
Средневековье,Israeli,0
Средневековье,Kazak,0
Средневековье,Kazakhstani,0
Средневековье,Kenyan,0
Средневековье,Kyrgyzstani,0
Средневековье,Libyan,0
Средневековье,Macedonian,0
Средневековье,Minoan,0
Средневековье,Mitannian,0
Средневековье,Mycenaean,0
Средневековье,Nassau,0
Средневековье,Nepalese,0
Средневековье,New Zealand,0
Средневековье,Nubian,0
Средневековье,Numidian,0
Средневековье,Omani,0
Средневековье,Pakistani,0
Средневековье,Palestinian,0
Средневековье,Parthian,0
Средневековье,Persian,0
Средневековье,Phrygian,0
Средневековье,Pontic,0
Средневековье,Portuguese,0
Средневековье,Rifian,0
Средневековье,Rwandan,0
Средневековье,Sarmatian,0
Средневековье,Sassanian,0
Средневековье,Scythian,0
Средневековье,Sea People,0
Средневековье,Seleucid,0
Средневековье,Somalian,0
Средневековье,South African,0
Средневековье,South Vietnamese,0
Средневековье,Sudanese,0
Средневековье,Sumerian,0
Средневековье,Tajik,0
Средневековье,Tajikistani,0
Средневековье,Tanzanian,0
Средневековье,Texian,0
Средневековье,Thracian,0
Средневековье,Trojan,0
Средневековье,Turkmenistani,0
Средневековье,Urartu,0
Средневековье,Uzbek,0
Средневековье,Vietnamese,0
Средневековье,W&uuml;rttemberg,0
Средневековье,Yugoslavian,0
Средневековье,Zulu,0
Новое время,French,194
Новое время,British,169
Новое время,USA,144
Новое время,German,96
Новое время,Russian,88
Новое время,Austrian,54
Новое время,Spanish,26
Новое время,Confederate,22
Новое время,Polish,22
Новое время,Swedish,22
Новое время,Turkish,18
Новое время,South African,15
Новое время,Bavarian,11
Новое время,Dutch,11
Новое время,Ukrainian,10
Новое время,Italian,9
Новое время,Indian,8
Новое время,Boer,6
Новое время,Sudanese,6
Новое время,Zulu,6
Новое время,Brunswick,5
Новое время,Mexican,5
Новое время,Scottish,5
Новое время,Belgian,4
Новое время,Hungarian,4
Новое время,Portuguese,4
Новое время,Saxon,4
Новое время,Chinese,3
Новое время,Egyptian,3
Новое время,Hessian,3
Новое время,Nassau,3
Новое время,Tatar,3
Новое время,W&uuml;rttemberg,3
Новое время,Afghan,2
Новое время,Cossack,2
Новое время,Japanese,2
