manufacturer,kit_count,avg_rating,avg_figures,cumulative_pct,ABC_Category
Strelets,448,41.849187935034806,37.002262443438916,15.8,A
HaT,348,41.45454545454545,35.565625,28.0,A
Zvezda,176,45.92307692307692,14.841176470588236,34.2,A
RedBox,155,39.945945945945944,30.50326797385621,39.7,A
Mars,145,35.44642857142857,33.239669421487605,44.8,A
Italeri,120,42.40625,32.295918367346935,49.0,A
Caesar,118,45.71,31.03448275862069,53.2,A
Preiser,94,46.766666666666666,15.011111111111111,56.5,A
Revell,84,44.88235294117647,39.31884057971015,59.4,A
Linear-A,79,42.859154929577464,24.743589743589745,62.2,A
Orion,73,42.3768115942029,39.15942028985507,64.8,A
Airfix,70,35.171875,36.71212121212121,67.3,A
Atlantic,60,24.509090909090908,,69.4,A
Pobeda,60,36.5,16.75,71.5,A
Waterloo 1815,56,42.12765957446808,28.403846153846153,73.5,A
Esci,56,41.0188679245283,37.129629629629626,75.4,A
LW,53,26.870967741935484,13.790697674418604,77.3,A
Metch,45,40.0,15.6,78.9,A
BUM,44,39.714285714285715,13.058823529411764,80.4,B
Evolution,42,29.714285714285715,11.263157894736842,81.9,B
IMEX,39,42.25,34.42857142857143,83.3,B
Valdemar,33,48.53333333333333,6.0,84.4,B
Ultima Ratio,27,41.407407407407405,28.74074074074074,85.4,B
GerMan,25,40.35294117647059,16.473684210526315,86.3,B
Odemars,25,33.5,30.0,87.1,B
Pegasus,24,48.0,34.43478260869565,88.0,B
Plastic Soldier,24,43.625,31.125,88.8,B
Heller,24,,43.64705882352941,89.7,B
MPC,22,,41.04761904761905,90.5,B
Ykreol,21,37.0,35.7,91.2,B
First To Fight,20,38.333333333333336,13.5,91.9,B
Nexus,19,,32.714285714285715,92.6,B
A Call To Arms,18,39.5,29.11111111111111,93.2,B
Emhar,18,44.35294117647059,40.388888888888886,93.8,B
Linear-B,14,40.92307692307692,49.5,94.3,B
Accurate,14,44.625,31.571428571428573,94.8,B
Matchbox,13,44.55555555555556,46.23076923076923,95.3,C
Valiant,12,44.6,29.75,95.7,C
MiniArt,12,36.666666666666664,33.5,96.1,C
Hasegawa,12,38.125,11.9,96.5,C
Fujimi,12,28.444444444444443,9.363636363636363,97.0,C
Lucky Toys,11,35.27272727272727,26.272727272727273,97.4,C
Hegemony,11,23.428571428571427,21.333333333333332,97.7,C
Billy V,10,,,98.1,C
Coates & Shine,9,39.333333333333336,32.44444444444444,98.4,C
HYTTY,7,26.285714285714285,19.0,98.7,C
Panzer vs Tanks,7,50.0,24.0,98.9,C
Armourfast,5,43.8,17.6,99.1,C
Dark Dream Studio,4,42.0,28.5,99.2,C
Eagle Games,3,,74.0,99.3,C
Dapol,3,45.0,33.0,99.4,C
Toxso,3,42.666666666666664,9.666666666666666,99.5,C
Co.Ma.,2,,24.0,99.6,C
Almark,2,30.0,10.0,99.7,C
Eduard,2,45.0,6.0,99.8,C
Tragik,2,41.5,12.0,99.8,C
T-Model,1,38.0,25.0,99.9,C
MM,1,46.0,37.0,99.9,C
Gulliver,1,43.0,15.0,99.9,C
Model Kasten,1,50.0,7.0,100.0,C
Legio,1,49.0,16.0,100.0,C
