manufacturer,nationality,kit_count,first_year,last_year,unique_years,span,regularity,has_enough_data,XYZ_Category
Strelets,British,87,2003,2025,23,23,1.0,True,X
Strelets,French,86,2001,2026,22,26,0.8461538461538461,True,X
HaT,German,62,1996,2026,21,31,0.6774193548387096,True,X
Strelets,Russian,60,2003,2023,16,21,0.7619047619047619,True,X
Zvezda,Russian,57,2000,2021,18,22,0.8181818181818182,True,X
Caesar,German,47,2004,2018,14,15,0.9333333333333333,True,X
Strelets,Italian,47,2007,2021,13,15,0.8666666666666667,True,X
Strelets,German,41,2002,2025,17,24,0.7083333333333334,True,X
Linear-A,Italian,39,2016,2026,9,11,0.8181818181818182,True,X
Strelets,USA,36,2005,2026,12,22,0.5454545454545454,True,X
Zvezda,German,34,1999,2021,14,23,0.6086956521739131,True,X
Mars,German,30,2008,2026,14,19,0.7368421052631579,True,X
Atlantic,Italian,25,1971,1978,6,8,0.75,True,X
RedBox,British,24,2006,2025,11,20,0.55,True,X
IMEX,USA,22,1993,2008,12,16,0.75,True,X
Italeri,French,19,1984,2007,12,24,0.5,True,X
Orion,Russian,19,2001,2015,9,15,0.6,True,X
Revell,German,19,1989,2012,14,24,0.5833333333333334,True,X
Zvezda,French,17,1995,2015,11,21,0.5238095238095238,True,X
Atlantic,USA,16,1975,1977,3,3,1.0,True,X
RedBox,French,16,2009,2021,8,13,0.6153846153846154,True,X
Esci,British,14,1982,1989,6,8,0.75,True,X
First To Fight,Polish,14,2014,2025,7,12,0.5833333333333334,True,X
Linear-A,Greek,14,2020,2025,5,6,0.8333333333333334,True,X
BUM,USA,13,2011,2013,3,3,1.0,True,X
RedBox,German,13,2009,2016,5,8,0.625,True,X
Mars,French,12,2006,2017,8,12,0.6666666666666666,True,X
Strelets,Turkish,12,2007,2018,9,12,0.75,True,X
Linear-B,Italian,11,2011,2014,4,4,1.0,True,X
Mars,Austrian,11,2008,2017,8,10,0.8,True,X
Mars,Polish,11,2009,2016,6,8,0.75,True,X
Mars,Russian,11,2009,2023,8,15,0.5333333333333333,True,X
Plastic Soldier,German,11,2010,2022,7,13,0.5384615384615384,True,X
Strelets,Japanese,11,2015,2025,8,11,0.7272727272727273,True,X
Caesar,Italian,10,2005,2013,7,9,0.7777777777777778,True,X
Esci,French,10,1982,1989,6,8,0.75,True,X
GerMan,Spanish,10,2007,2010,4,4,1.0,True,X
Strelets,Norman,10,2004,2016,7,13,0.5384615384615384,True,X
Esci,German,9,1982,1989,4,8,0.5,True,X
RedBox,Spanish,9,2015,2017,3,3,1.0,True,X
Valiant,German,9,2007,2018,6,12,0.5,True,X
BUM,Spanish,8,2004,2010,6,7,0.8571428571428571,True,X
Caesar,USA,8,2006,2018,8,13,0.6153846153846154,True,X
Esci,USA,8,1977,1989,7,13,0.5384615384615384,True,X
Mars,Swedish,8,2008,2017,6,10,0.6,True,X
Orion,Ukrainian,8,2006,2010,5,5,1.0,True,X
Pegasus,German,8,2004,2013,5,10,0.5,True,X
Pegasus,Russian,8,2008,2013,3,6,0.5,True,X
RedBox,Ukrainian,8,2018,2023,3,6,0.5,True,X
Caesar,British,7,2004,2013,5,10,0.5,True,X
HaT,South African,7,2008,2019,6,12,0.5,True,X
Italeri,Italian,7,2000,2010,6,11,0.5454545454545454,True,X
Mars,Lithuanian,7,2012,2014,3,3,1.0,True,X
Mars,Turkish,7,2015,2017,3,3,1.0,True,X
Mars,USA,7,2020,2026,4,7,0.5714285714285714,True,X
Strelets,Bavarian,7,2020,2024,3,5,0.6,True,X
Strelets,Romanian,7,2008,2011,4,4,1.0,True,X
