manufacturer,nationality,Recency,Frequency,Magnitude
Linear-A,Macedonian,0,1,48.0
Linear-A,Bulgarian,0,1,45.0
Linear-A,Goth,0,1,45.0
Linear-A,French,0,5,44.4
Ultima Ratio,French,0,4,43.5
Linear-A,Italian,0,37,42.648648648648646
HaT,Hessian,0,3,42.0
Linear-A,Romanian,0,2,42.0
Strelets,French,0,86,41.56976744186046
Strelets,USA,0,36,41.083333333333336
Mars,USA,0,7,40.857142857142854
HaT,German,0,57,40.719298245614034
Linear-A,Assyrian,1,4,46.25
Linear-A,Syrian,1,4,45.25
Linear-A,Egyptian,1,3,44.0
Linear-A,Seleucid,1,2,44.0
Orion,Finnish,1,1,44.0
Ultima Ratio,Bulgarian,1,1,44.0
Ultima Ratio,Greek,1,1,44.0
Ultima Ratio,Thracian,1,1,44.0
Linear-A,Albanian,1,3,43.666666666666664
Linear-A,Epirote,1,3,43.666666666666664
Strelets,Spanish,1,2,43.5
Strelets,German,1,41,43.26829268292683
Strelets,Dutch,1,4,42.75
Linear-A,Greek,1,14,42.714285714285715
Strelets,British,1,87,42.632183908045974
HaT,British,1,35,42.6
Strelets,Austrian,1,12,42.416666666666664
Orion,USA,1,5,42.2
HaT,USA,1,11,42.09090909090909
Ultima Ratio,Italian,1,6,42.0
Ultima Ratio,Japanese,1,2,42.0
Strelets,Japanese,1,11,41.90909090909091
Linear-A,Turkish,1,3,41.333333333333336
HaT,Russian,1,15,41.13333333333333
Strelets,Texian,1,1,40.0
Orion,Hungarian,2,1,49.0
Strelets,Bavarian,2,7,45.42857142857143
Orion,Japanese,2,1,45.0
Linear-A,Harappan,2,1,44.0
Linear-A,Indian,2,1,44.0
Linear-A,Pakistani,2,1,44.0
HaT,Hungarian,2,2,43.5
Linear-A,Iraqi,2,2,43.5
Ultima Ratio,Carthaginian,2,3,40.0
RedBox,Cossack,3,4,46.25
Linear-A,Carthaginian,3,3,45.333333333333336
RedBox,Ukrainian,3,8,44.75
Orion,Polish,3,6,43.5
Orion,German,3,8,43.375
Orion,French,3,2,43.0
Strelets,Russian,3,57,42.54385964912281
Orion,Italian,3,5,42.4
Orion,British,3,5,42.0
Ultima Ratio,Tunisian,3,1,42.0
Ultima Ratio,Libyan,3,1,40.0
Caesar,Chinese,4,5,46.8
Plastic Soldier,British,4,5,44.6
Plastic Soldier,German,4,11,43.45454545454545
Mars,Australian,4,1,42.0
Mars,Canadian,4,1,42.0
Linear-A,Persian,4,3,41.666666666666664
Plastic Soldier,USA,4,4,40.0
Ultima Ratio,Confederate,4,1,40.0
Ultima Ratio,USA,4,2,40.0
Linear-A,Celtic,5,2,44.5
Strelets,Arab,5,8,42.5
Strelets,Australian,5,6,41.833333333333336
RedBox,Scottish,5,5,41.4
Strelets,Italian,5,40,41.15
RedBox,French,5,16,41.125
Linear-A,Minoan,5,1,41.0
HaT,Italian,5,27,40.0
Linear-A,German,5,3,40.0
