manufacturer,nationality,Recency,Frequency,Magnitude
Airfix,Confederate,64,2,22.5
Airfix,Arab,62,1,38.0
Airfix,Japanese,62,1,44.0
Airfix,Celtic,57,1,41.0
Almark,British,54,2,30.0
Atlantic,Chinese,54,1,23.0
Airfix,French,51,6,34.0
Atlantic,British,51,1,22.0
Atlantic,Egyptian,50,3,37.333333333333336
Atlantic,Russian,50,2,29.0
Airfix,Australian,50,1,44.0
Airfix,Nepalese,50,1,40.0
Atlantic,Japanese,50,1,27.0
Matchbox,USA,50,1,43.0
Atlantic,USA,49,16,24.1875
Atlantic,German,49,3,28.0
Atlantic,Greek,49,3,29.0
Matchbox,German,49,2,43.0
Atlantic,Indian,49,1,24.0
Atlantic,Italian,48,24,21.833333333333332
Matchbox,Australian,46,1,49.0
Matchbox,New Zealand,46,1,49.0
Airfix,German,45,10,39.9
Airfix,Italian,45,3,36.333333333333336
Airfix,Spanish,45,1,43.0
Airfix,USA,44,17,32.23529411764706
Airfix,Russian,44,2,34.0
Esci,Japanese,44,1,45.0
Matchbox,British,43,4,43.5
Esci,South African,42,1,37.0
Esci,Zulu,42,1,37.0
Esci,Confederate,41,1,44.0
Esci,Australian,40,1,46.0
Esci,Austrian,40,1,36.0
Esci,Vietnamese,40,1,47.0
Esci,Indian,39,2,42.0
Esci,Afghan,39,1,41.0
Esci,Sudanese,39,1,41.0
Esci,Russian,38,4,40.75
Esci,British,37,14,40.714285714285715
Esci,French,37,10,39.4
Esci,German,37,9,42.22222222222222
Esci,USA,37,8,43.5
Esci,Italian,37,4,44.75
Esci,Polish,37,2,39.5
Fujimi,USA,37,2,43.0
Esci,Belgian,37,1,43.0
Esci,Czech,37,1,46.0
Esci,Dutch,37,1,43.0
Esci,East German,37,1,46.0
Esci,Hungarian,37,1,46.0
Revell,Anglo-Saxon,37,1,45.0
Revell,Australian,37,1,43.0
Revell,Celtic,37,1,45.0
Revell,Norman,37,1,47.0
Accurate,USA,35,2,48.0
Revell,Swedish,35,2,49.0
Accurate,Confederate,35,1,48.0
Revell,Aztec,35,1,46.0
Revell,Mexican,35,1,46.0
Revell,Spanish,35,1,41.0
Fujimi,German,34,1,26.0
Preiser,Spanish,34,1,46.0
Revell,Japanese,33,1,47.0
Revell,Austrian,32,5,45.6
Gulliver,USA,32,1,43.0
IMEX,Confederate,31,3,38.333333333333336
Revell,Russian,31,3,44.0
IMEX,Texian,29,1,48.0
Hasegawa,USA,28,5,36.8
Hasegawa,German,28,3,34.666666666666664
Italeri,Confederate,28,2,47.5
Hasegawa,British,28,1,33.0
Italeri,Frankish,28,1,46.0
HaT,Numidian,27,1,39.0
Waterloo 1815,Confederate,27,1,19.0
Italeri,Gaul,26,1,40.0
HaT,Algerian,25,4,40.25
HaT,Tunisian,25,3,40.666666666666664
HaT,Libyan,25,2,36.0
A Call To Arms,South African,25,1,43.0
A Call To Arms,Zulu,25,1,43.0
HaT,Bulgarian,25,1,41.0
HaT,Portuguese,25,1,35.0
HaT,Thracian,25,1,41.0
A Call To Arms,French,24,3,39.666666666666664
A Call To Arms,USA,24,2,40.0
HYTTY,Algerian,24,1,19.0
HYTTY,Greek,24,1,19.0
HYTTY,Libyan,24,1,19.0
HYTTY,Spanish,24,1,19.0
HYTTY,Tunisian,24,1,19.0
HaT,Pictish,24,1,33.0
LW,Afghan,24,1,27.0
LW,Polish,24,1,27.0
LW,Scythian,24,1,27.0
LW,Tajik,24,1,27.0
LW,Ukrainian,24,1,27.0
LW,Uzbek,24,1,27.0
Orion,Danish,24,1,46.0
Orion,Norwegian,24,1,46.0
Orion,Swedish,24,1,46.0
Orion,Viking,24,1,46.0
Preiser,USA,24,1,46.0
Waterloo 1815,Belgian,24,1,37.0
Waterloo 1815,Polish,24,1,44.0
Zvezda,Macedonian,24,1,37.0
HaT,CeltIberian,23,3,38.0
Dark Dream Studio,Russian,23,1,48.0
LW,German,23,1,32.0
