manufacturer,era,kit_count,avg_rating
Revell,Современность,7,48.52777777777778
Pegasus,Новейшее время,17,47.89473684210526
Preiser,Современность,11,46.875
Valdemar,Средневековье,5,46.651904340124005
Caesar,Древний мир,28,46.203126954346466
Zvezda,Новое время,27,46.02511210762332
Accurate,Новое время,6,46.016666666666666
Matchbox,Новейшее время,8,45.22
Esci,Современность,7,45.03703703703704
Orion,Новое время,6,45.03687943262411
Valiant,Новейшее время,10,44.93617021276596
Waterloo 1815,Новейшее время,21,44.89622641509434
IMEX,Новое время,22,44.73051948051948
Linear-A,Новое время,6,44.526315789473685
GerMan,Новое время,17,44.21167883211679
Plastic Soldier,Новейшее время,24,44.01980198019802
RedBox,Новое время,40,43.67670682730924
Armourfast,Новейшее время,5,43.56666666666667
Emhar,Новое время,8,43.27272727272727
Italeri,Новое время,35,42.3768115942029
Strelets,Новое время,230,42.02715654952077
HaT,Новое время,147,41.74018877297566
Ultima Ratio,Древний мир,10,41.6686885588789
BUM,Новейшее время,7,41.526315789473685
A Call To Arms,Новое время,16,41.40963855421687
Coates & Shine,Древний мир,7,40.86915176873336
Linear-B,Древний мир,12,40.1578330206379
Mars,Новейшее время,33,38.55944055944056
First To Fight,Новейшее время,18,38.15151515151515
Airfix,Новейшее время,33,36.11924119241193
Hasegawa,Новейшее время,6,35.67213114754098
MiniArt,Средневековье,9,35.54132606721163
Odemars,Новое время,7,34.74418604651163
LW,Новейшее время,5,33.05
Atlantic,Древний мир,9,32.981711963423926
Evolution,Древний мир,5,31.61488764044944
Lucky Toys,Новое время,5,27.92
Fujimi,Новейшее время,7,23.51923076923077
