id,header,years_from,years_to,release_year,aggregate_rating,num_figures,manufacturer,period_duration,mid_year,era,decade,years_since_release,nationality
1,Accurate British Infantry (7200),1768,1796,,47.0,50.0,Accurate,28,1782,Новое время,,,British
2,Accurate American Militia (7201),1775,1780,,48.0,50.0,Accurate,5,1777,Новое время,,,USA
3,Accurate Union Infantry (7202),1861,1865,1991.0,48.0,50.0,Accurate,4,1863,Новое время,1990.0,35.0,USA
4,Accurate Union Artillery Team (7204),1861,1865,,34.0,18.0,Accurate,4,1863,Новое время,,,USA
5,Accurate Union Pioneers (7205),1861,1865,,44.0,31.0,Accurate,4,1863,Новое время,,,USA
6,Accurate Hundred Years War English Men-At-Arms (7206),1340,1450,,45.0,47.0,Accurate,110,1395,Средневековье,,,British
7,Accurate Hundred Years War Knights Of France (7207),1330,1460,,43.0,35.0,Accurate,130,1395,Средневековье,,,French
8,Accurate Confederate Artillery Team (7208),1861,1865,,,18.0,Accurate,4,1863,Новое время,,,USA
9,Accurate Confederate Pioneers (7209),1861,1865,,,31.0,Accurate,4,1863,Новое время,,,USA
10,Accurate Waterloo French Cavalry (7212),1804,1815,1969.0,,11.0,Accurate,11,1809,Новое время,1960.0,57.0,French
11,A Call To Arms British Infantry 1815 (50),1812,1816,1998.0,41.0,32.0,A Call To Arms,4,1814,Новое время,1990.0,28.0,British
12,A Call To Arms French Cuirassiers 1815 (51),1804,1815,1999.0,41.0,12.0,A Call To Arms,11,1809,Новое время,1990.0,27.0,French
13,A Call To Arms British Infantry World War II (52),1951,1955,,33.0,32.0,A Call To Arms,4,1953,Современность,,,British
14,A Call To Arms French Carabiniers 1815 (53),1810,1815,2001.0,38.0,12.0,A Call To Arms,5,1812,Новое время,2000.0,25.0,French
15,A Call To Arms Confederate Infantry 1861 (54),1861,1865,2000.0,39.0,32.0,A Call To Arms,4,1863,Новое время,2000.0,26.0,USA
16,A Call To Arms Union Infantry 1861 (55),1861,1865,,34.0,52.0,A Call To Arms,4,1863,Новое время,,,USA
17,A Call To Arms Zulus (56),1816,1880,2001.0,43.0,32.0,A Call To Arms,64,1848,Новое время,2000.0,25.0,South African
17,A Call To Arms Zulus (56),1816,1880,2001.0,43.0,32.0,A Call To Arms,64,1848,Новое время,2000.0,25.0,Zulu
18,A Call To Arms British Infantry Zulu War (57),1876,1880,2001.0,43.0,32.0,A Call To Arms,4,1878,Новое время,2000.0,25.0,British
19,A Call To Arms French Infantry 1815 (58),1812,1815,2002.0,40.0,32.0,A Call To Arms,3,1813,Новое время,2000.0,24.0,French
20,A Call To Arms Royalist Artillery (59),1642,1650,2002.0,43.0,16.0,A Call To Arms,8,1646,Новое время,2000.0,24.0,British
21,A Call To Arms Union Regiments (60),1861,1865,2002.0,41.0,32.0,A Call To Arms,4,1863,Новое время,2000.0,24.0,USA
22,A Call To Arms Royalist Infantry (61),1642,1650,2003.0,40.0,32.0,A Call To Arms,8,1646,Новое время,2000.0,23.0,British
23,A Call To Arms English Civil War Command Set (62),1642,1650,2003.0,42.0,32.0,A Call To Arms,8,1646,Новое время,2000.0,23.0,British
24,Airfix Guards Colour Party (01702),1946,1960,1960.0,41.0,40.0,Airfix,14,1953,Современность,1960.0,66.0,British
25,Airfix British Infantry (01703),1939,1945,1973.0,37.0,48.0,Airfix,6,1942,Новейшее время,1970.0,53.0,British
26,Airfix German Infantry (01705),1939,1942,1974.0,40.0,48.0,Airfix,3,1940,Новейшее время,1970.0,52.0,German
27,Airfix Cowboys (01707),1850,1890,1961.0,29.0,30.0,Airfix,40,1870,Новое время,1960.0,65.0,USA
