nationality,year,наборов_доступно,средний_рейтинг,лучший_рейтинг,best_kit_header
German,1943,162,43.098765432098766,50,Preiser Horse Drawn Light Field Howitzer (16513)
French,1812,87,41.689655172413794,49,Revell French Mounted Guard Chasseurs (02576)
USA,1865,77,37.857142857142854,49,IMEX American Pioneers (516)
Italian,80,66,40.27272727272727,50,Pegasus Gladiators (7100)
British,1814,60,42.4,49,Strelets British Infantry Standing Order Arms (201)
Russian,1944,49,42.87755102040816,49,Preiser Soviet Infantrymen on a Tank (72525)
Japanese,1944,30,42.1,50,RedBox WW2 Japanese Kamikaze (72048)
Turkish,1601,22,38.31818181818182,47,Zvezda The Janissaries (8050)
Austrian,1809,21,40.857142857142854,46,Strelets Allied Chiefs of Staff (2) (011)
Confederate,1861,19,39.1578947368421,48,Italeri Confederate Cavalry (6011)
Polish,1939,18,39.5,47,First To Fight CKM wz.30 in Cavalry Service (PL1939-120)
Greek,-336,14,37.285714285714285,44,Ultima Ratio The Thracians (UR026)
Carthaginian,-215,13,40.69230769230769,47,Zvezda Carthaginian Infantry (8010)
Spanish,1550,12,41.166666666666664,48,RedBox Spanish Infantry (Set 1) (72096)
Celtic,-73,11,40.45454545454545,48,Caesar Celt Warriors (H064)
Romanian,100,11,36.81818181818182,47,Strelets Dacians Before Battle (M040)
Norman,1050,11,43.45454545454545,47,Revell Normans (02550)
Tunisian,-217,10,39.2,47,Zvezda Carthaginian Infantry (8010)
Bavarian,1809,10,42.3,47,Strelets Bavarian Infantry at Ease (270)
Dacian,100,10,36.8,47,Strelets Dacians Before Battle (M040)
Syrian,-670,10,44.4,47,Linear-A Neo-Assyrian Empire Infantry Set 1 (056)
Assyrian,-670,10,44.2,47,Linear-A Neo-Assyrian Empire Infantry Set 1 (056)
Macedonian,-330,10,35.7,48,Linear-A Alexander the Great with General Staff (1) (022s)
Persian,-350,9,37.888888888888886,49,Zvezda Persian Infantry (8006)
Egyptian,-1350,8,43.375,49,Caesar Ancient Egyptian Warriors (H047)
South African,1879,8,40.25,43,A Call To Arms Zulus (56)
Swedish,1706,8,42.25,50,Zvezda Swedish Artillery of Charles XII (8066)
Swiss,1490,8,39.625,43,RedBox Swiss Halberdiers (72062)
Ukrainian,1550,8,44.0,48,RedBox Ukrainian Cossack (Infantry) Set 3 (72116)
CeltIberian,-250,7,34.0,44,HaT Spanish Cavalry (8055)
Arab,1916,7,41.57142857142857,45,Strelets Arabs in Skirmish (M142)
