nationality,era,kit_count_recent,kit_count_prev,absolute_change,growth_rate_pct
British,Средневековье,1,9,-8,-88.88888888888889
Confederate,Новое время,1,7,-6,-85.71428571428571
Italian,Средневековье,2,10,-8,-80.0
French,Средневековье,2,9,-7,-77.77777777777779
Burgundian,Средневековье,1,4,-3,-75.0
Japanese,Новейшее время,4,13,-9,-69.23076923076923
Polish,Новейшее время,4,13,-9,-69.23076923076923
Chinese,Древний мир,1,3,-2,-66.66666666666666
Spanish,Новое время,1,3,-2,-66.66666666666666
Russian,Новое время,9,15,-6,-40.0
German,Новейшее время,27,42,-15,-35.714285714285715
Turkish,Средневековье,9,14,-5,-35.714285714285715
Russian,Новейшее время,6,9,-3,-33.33333333333333
French,Новейшее время,8,9,-1,-11.11111111111111
USA,Новое время,17,18,-1,-5.555555555555555
