ID,Header,Release_Year,Aggregate_Rating,Num_Figures
1,Accurate British Infantry (7200),,47,50
2,Accurate American Militia (7201),,48,50
3,Accurate Union Infantry (7202),1991,48,50
4,Accurate Union Artillery Team (7204),,34,18
5,Accurate Union Pioneers (7205),,44,31
6,Accurate Hundred Years War English Men-At-Arms (7206),,45,47
7,Accurate Hundred Years War Knights Of France (7207),,43,35
8,Accurate Confederate Artillery Team (7208),,,18
9,Accurate Confederate Pioneers (7209),,,31
10,Accurate Waterloo French Cavalry (7212),1969,,11
11,A Call To Arms British Infantry 1815 (50),1998,41,32
12,A Call To Arms French Cuirassiers 1815 (51),1999,41,12
13,A Call To Arms British Infantry World War II (52),,33,32
14,A Call To Arms French Carabiniers 1815 (53),2001,38,12
15,A Call To Arms Confederate Infantry 1861 (54),2000,39,32
16,A Call To Arms Union Infantry 1861 (55),,34,52
17,A Call To Arms Zulus (56),2001,43,32
18,A Call To Arms British Infantry Zulu War (57),2001,43,32
19,A Call To Arms French Infantry 1815 (58),2002,40,32
20,A Call To Arms Royalist Artillery (59),2002,43,16
21,A Call To Arms Union Regiments (60),2002,41,32
22,A Call To Arms Royalist Infantry (61),2003,40,32
23,A Call To Arms English Civil War Command Set (62),2003,42,32
24,Airfix Guards Colour Party (01702),1960,41,40
25,Airfix British Infantry (01703),1973,37,48
26,Airfix German Infantry (01705),1974,40,48
27,Airfix Cowboys (01707),1961,29,30
28,Airfix Indians (01708),1961,25,30
29,Airfix 8th Army (01709),1974,45,45
30,Airfix Union Infantry (01712),1962,28,48
31,Airfix Wagon Train (01715),1962,35,19
32,Airfix Russian Infantry (01717),1964,34,41
33,Airfix Japanese Infantry (01718),1964,44,48
34,Airfix Arabs (Bedouins) (01719),1964,38,22
35,Airfix Robin Hood (01720),1964,41,39
36,Airfix US Cavalry (01722),1965,34,12
37,Airfix WWI French Infantry (01728),1966,44,48
38,Airfix Tarzan Figures (01733),1968,39,17
39,Airfix Ancient Britons (01734),1969,41,29
40,Airfix Waterloo French Cavalry (Cuirassiers) (01736),1969,32,11
41,Airfix The High Chaparral (01738),1971,33,30
42,Airfix Washington's Army (01739),1971,37,40
43,Airfix British Grenadiers (01740),1971,25,40
44,Airfix Waterloo French Infantry (01744),1972,27,43
45,Airfix Waterloo British Infantry (01745),1972,37,43
46,Airfix R.A.F. Personnel (01747),1972,46,37
47,Airfix U.S.A.F. Personnel (01748),1974,48,42
48,Airfix Australian Infantry (01750),1976,44,48
49,Airfix German Paratroops (01753),1976,42,46
50,Airfix Prussian Infantry 1815 (01756),1979,44,48
51,Airfix Italian Infantry (01757),1980,42,48
52,Airfix SAS (01761),,,
53,Airfix Infantry Combat Group (1703),1960,,48
54,Airfix German Infantry (1705),1960,22,47
55,Airfix 8th Army (1709),1961,25,46
56,Atlantic 7th Cavalry (1004),1975,18,
57,Atlantic Kit Carson (1008),1975,28,
58,Atlantic Paratroopers (101),1971,21,
59,Atlantic Gold Rush (1010),1976,30,
60,Atlantic General Custer (1011),1976,24,
61,Atlantic Cow-Boys (1015),1977,28,
62,Atlantic Artillery (106),1974,,
63,Atlantic Italian Bersaglieri (115),1971,24,
64,Atlantic Italian Carabinieri Police (116),1972,26,
65,Atlantic Commandos 'San Marco' (117),1974,28,
66,Atlantic Landing Craft Infantry (118),1974,8,
67,Atlantic Machine-Gunners and Mortars (119),1974,18,
68,Atlantic Anti-Tank Guns (120),1974,25,
69,Atlantic Heavy Mortars (122),1974,,
70,Atlantic The Egyptian Army (1502),1976,38,
71,Atlantic The Egyptian Cavalry (1503),1976,33,
72,Atlantic Greek Life in the Acropolis (1508),1977,38,
73,Atlantic Greek Army (1509),1977,27,
74,Atlantic Gladiators and Christians (1517),1978,32,
75,Atlantic German Infantry (81),1975,23,
76,Atlantic Royal Fusiliers (83),1975,22,
77,Atlantic Red Army (84),1976,26,
78,Atlantic Sendai Japanese (85),1976,27,
79,Atlantic Lenin - Stalin - Russian Revolution (9009),1972,32,
80,Emhar British WWI Infantry with Tank Crew (7201),2000,43,52
81,Emhar German WWI Infantry with Tank Crew (7203),2000,44,48
82,Emhar German WWI Artillery (7204),2000,37,24
84,Esci British Soldiers (200),1982,45,50
85,Esci German Soldiers (201),1982,43,50
86,Esci U.S. Soldiers (202),1982,43,50
87,Esci Russian Soldiers (203),1982,44,46
88,Esci Japanese Soldiers (204),1982,45,50
89,Esci French Soldiers (205),1982,36,49
90,Esci British 8th Army Soldiers (207),1983,47,50
91,Esci Italian Mountain Troops (211),1983,46,46
92,Esci British Infantry (215),1984,37,50
93,Esci 'Scots Greys' British Cavalry (217),1985,36,12
94,Esci 'Polish Lancers' French Cavalry (218),1985,33,12
95,Esci British and French Artillery (219),1985,37,16
96,Esci Lord Cardigan's 11th Hussars (220),1985,33,12
97,Esci Russian Infantry and Artillery (221),1985,34,30
98,Esci Union Infantry (222),1985,44,50
99,Esci Roman Legion (224),1986,44,40
100,Esci Barbarian Warriors (225),1986,43,46
101,Esci Prussian and Austrian Infantry (226),1986,36,50
102,Esci French Line Infantry (227),1986,36,50
103,Esci U.S. Elite Forces (228),1986,47,50
104,Esci North Vietnamese Soldiers and Vietcong (229),1986,47,50
105,Esci British Light Dragoons (230),1986,41,12
106,Esci British Artillery (233),1986,36,16
107,Esci French Artillery (234),1986,37,16
108,Esci French Cuirassiers (235),1987,42,12
109,Esci Modern Russian Paratroopers Spetsnaz (240),1988,41,50
110,Esci NATO Troops (241),1989,46,48
111,Esci German Paratroopers 'Green Devils' (244),1989,38,50
112,Gulliver South States Cavalry (3601),1994,43,15
113,HaT Picts (6005),2002,33,24
114,HaT Saxons (6006),2002,24,24
115,HaT Franks (6007),2002,29,24
116,HaT Visigoths (6008),2002,26,24
117,HaT WW1 French Infantry (7003),,,
118,HaT Waterloo Prussian Landwehr (7006),,,
119,HaT Italian Infantry (7007),,,
120,HaT Waterloo French Line Infantry (7008),1972,,43
121,HaT Ancient Britons (7011),1969,,29
122,HaT Bedouins (7013),1964,,22
123,HaT Robin Hood (7015),1964,,39
124,HaT Australian Infantry (7016),1976,,48
125,HaT Jungle Adventure (7018),1968,,17
126,HaT 1805 Napoleonic French Mamelukes (8001),1996,38,12
127,HaT Russian Cossacks (8006),1998,42,12
128,HaT Prussian Artillery (8007),1997,35,24
129,HaT Brunswick Avant Garde (8008),1997,38,48
130,HaT Russian Artillery (8010),1997,32,24
131,HaT French Lancers (8011),1998,33,12
132,HaT French Horse Grenadiers (8013),1998,41,12
133,HaT KGL Light Dragoons (8014),1998,40,12
134,HaT Austrian Cuirassiers (8015),1998,39,12
135,HaT Russian Cuirassiers (8016),1998,42,12
136,HaT Republican Romans Princeps & Triari (8017),1999,37,48
137,HaT Republican Romans Hastati & Velites (8018),1999,39,48
138,HaT Roman Cavalry (8021),1999,38,12
139,HaT Brunswick Leib Infantry (8026),2000,41,48
140,HaT Bavarian Infantry (8028),2000,37,48
141,HaT Bavarian Cavalry (8030),2000,37,12
142,HaT Dutch Belgian Light Dragoons (8032),2000,42,12
143,HaT Roman Catapults (8035),2000,46,48
144,HaT British Light Infantry (8036),2001,34,48
145,HaT Austrian Artillery (8037),2001,39,24
146,HaT Bavarian Artillery (8038),2001,37,24
147,HaT Macedonian Phalangites (8043),2001,40,48
148,HaT Alexander's Light Infantry (8044),2001,43,48
149,HaT Greek Mercenary Hoplites (8045),2001,40,48
150,HaT Alexander's Thracians (8046),2001,41,48
151,HaT Alexander's Macedonian Cavalry (8047),2003,37,12
152,HaT Alexander's Thessalian Cavalry (8048),2003,43,12
153,HaT Alexander's Allied Cavalry (8049),2003,37,12
154,HaT Roman Command (8051),2001,46,32
155,HaT Prussian Reserve Infantry (8052),2002,43,48
156,HaT Prussian Jäger and Volunteer Jäger (8053),2002,41,48
157,HaT Persian Light Infantry (8057),2002,48,60
158,HaT Persian Heavy Infantry (8059),2002,42,48
159,HaT Austrian Infantry (8060),2002,41,48
160,HaT Russian Infantry (8061),2002,39,48
161,HaT 1805 French Line Infantry (8062),2002,38,48
162,HaT 1805 French Light Infantry (8063),2002,44,48
163,HaT Imperial Roman Auxiliary Infantry (8065),2003,43,45
164,HaT Persian Medium Cavalry (8076),2003,42,12
165,HaT Imperial Roman Legionaries 1st - 2nd Century AD (8082),2003,36,45
166,Heller German Infantry (79605),1974,,48
167,Heller British 8th Army (79609),1974,,45
168,Heller Japanese Infantry (79618),1964,,48
169,Heller RAF Personnel (79647),1972,,37
170,Heller U.S.A.A.F. Personnel (79648),1974,,42
171,Heller German Paratroopers (79653),1976,,46
172,HYTTY Samurai (1001),,35,18
173,HYTTY Persians (1002),,17,14
174,HYTTY Historic Figures (1003),,37,
175,HYTTY Carthaginian Mercenaries (1004),2002,19,16
176,HYTTY Alexander The Great Cavalry (2003),,28,11
177,IMEX Union Artillery (501),1993,32,25
178,IMEX Confederate Artillery (502),1993,31,25
179,IMEX Confederate Cavalry (504),1994,42,28
180,IMEX Union Infantry (505),1995,42,50
181,IMEX Confederate Infantry (506),1995,42,49
182,IMEX Civil War Accessories (507),,,
183,IMEX Alamo Defenders (aka Texas Infantry) (509),1997,48,50
184,IMEX Mexican Infantry (510),2002,30,46
185,IMEX George Washington's Army (511),2000,41,46
186,IMEX British Redcoats (512),2000,49,49
187,IMEX Mexican Cavalry At The Alamo (515),2002,29,15
188,IMEX Battlefield Accessories (519),,,
189,IMEX Mexican Artillery At The Alamo (520),2002,31,37
190,Italeri Scots Greys (6001),1995,45,18
191,Italeri French Infantry (6002),1995,40,50
192,Italeri Carabiniers (6003),1996,46,17
193,Italeri Highlander Infantry (6004),1996,44,50
194,Italeri Russian Grenadiers (6006),1997,44,50
195,Italeri French Hussars (6008),1996,46,17
196,Italeri The Knights (6009),1998,46,34
197,Italeri Saracen Warriors (6010),1998,43,23
198,Italeri Confederate Cavalry (6011),1998,48,17
199,Italeri Confederate Infantry (6014),1998,47,51
200,Italeri French Imperial General Staff (6016),1999,47,21
201,Italeri Napoleonic Wars Accessories (6017),2000,43,9
202,Italeri French Line/Guard Artillery (6018),2000,43,11
203,Italeri Teutonic Knights (6019),1999,45,17
204,Italeri Mongols (6020),1999,42,17
205,Italeri Roman Infantry (6021),2000,38,35
206,Italeri Gaul Warriors (6022),2000,40,40
207,Italeri Russian Knights (6023),2000,,42
208,Italeri Greek Infantry (6024),,,45
209,Italeri Roman Cavalry (6028),2001,37,17
210,Italeri Union Artillery Set (6032),2002,42,16
211,Italeri German Infantry (6033),1982,,50
212,Italeri Macedonian Cavalry (6035),,,17
213,Italeri Union Artillery (6038),2002,42,13
214,Italeri Dutch-Polish Lancers (6039),,,
215,Italeri British Light Dragoons (6040),,,
216,Italeri British Artillery (6041),1986,,16
217,Italeri Cossack Cavalry (6042),,,
218,Italeri German Paratroopers (6045),1989,,50
219,Italeri American Infantry (6046),1982,,50
220,Italeri Roman Infantry (6047),2002,,35
221,Italeri Barbarian Warriors (6048),,,
222,Lucky Toys Attila and Black Huns (TL0001),2003,38,12
223,LW Wellington's Generals (0),,34,20
224,LW Inquisition (2),2002,40,6
225,LW Vinea (22),2004,,5
226,LW Parthian Cataphracts 1 (24),,17,7
227,LW Parthian Cataphracts 2 (25),,17,7
228,LW Cavalry of Imperial Rome (29),,10,4
229,LW Pirates (31),,38,15
230,LW Celtic Warriors (33),,9,4
231,LW Napoleonic War Engineers (36),,37,16
232,LW Bactrian Cavalry (38),2002,27,5
233,LW Medieval Mortar (39),,29,3
234,LW Russian Artillery Crew (40),,,16
235,LW Scythians (45),2002,27,5
236,LW Onager (50),2002,,5
237,Matchbox British Infantry (P5001),1976,42,49
238,Matchbox German Infantry (P5003),1976,44,49
239,Matchbox British 8th Army (P5005),1977,46,44
240,Matchbox Japanese Infantry (P5007),,49,45
241,Matchbox ANZAC Infantry (P5008),1980,49,42
242,Matchbox NATO Paratroopers (P5009),1983,44,42
243,MiniArt Burgundian Knights and Archers (72001),2002,40,48
262,Nexus Egyptian Infantry (ATL01),,,62
263,Nexus The Egyptian Cavalry (ATL02),,,
264,Nexus US 7th Cavalry (ATL03),,,24
265,Nexus Greek Infantry (ATL05),1977,,
266,Nexus Russian Revolution (ATL09),,,27
267,Nexus Russian WW2 Infantry (ATL10),,,48
268,Nexus Kit Carson (ATL11),,,33
269,Nexus Ancient Life (ATL14),,,42
270,Nexus Cowboys (ATL16),,,16
271,Nexus Gold Rush (ATL18),,,36
277,Odemars Wellington's Generals (0),,,20
278,Odemars Samurai (PF01),,35,32
279,Odemars Persians (PF02),,17,21
280,Odemars Leaders (PF03),,37,20
281,Odemars German 7.5 cm PaK 40 Gun (104),,,
282,Odemars Roman Republic Infantry (PF06),,28,36
283,Orion English Pirates (72001),2001,46,44
284,Orion Chechen Rebels (72002),2001,45,48
