ID,Header,Years_from,Years_to
1,Accurate British Infantry (7200),1768,1796
2,Accurate American Militia (7201),1775,1780
3,Accurate Union Infantry (7202),1861,1865
4,Accurate Union Artillery Team (7204),1861,1865
5,Accurate Union Pioneers (7205),1861,1865
6,Accurate Hundred Years War English Men-At-Arms (7206),1340,1450
7,Accurate Hundred Years War Knights Of France (7207),1330,1460
8,Accurate Confederate Artillery Team (7208),1861,1865
9,Accurate Confederate Pioneers (7209),1861,1865
10,Accurate Waterloo French Cavalry (7212),1804,1815
11,A Call To Arms British Infantry 1815 (50),1812,1816
12,A Call To Arms French Cuirassiers 1815 (51),1804,1815
13,A Call To Arms British Infantry World War II (52),1951,1955
14,A Call To Arms French Carabiniers 1815 (53),1810,1815
15,A Call To Arms Confederate Infantry 1861 (54),1861,1865
16,A Call To Arms Union Infantry 1861 (55),1861,1865
17,A Call To Arms Zulus (56),1816,1880
18,A Call To Arms British Infantry Zulu War (57),1876,1880
19,A Call To Arms French Infantry 1815 (58),1812,1815
20,A Call To Arms Royalist Artillery (59),1642,1650
21,A Call To Arms Union Regiments (60),1861,1865
22,A Call To Arms Royalist Infantry (61),1642,1650
23,A Call To Arms English Civil War Command Set (62),1642,1650
24,Airfix Guards Colour Party (01702),1946,1960
25,Airfix British Infantry (01703),1939,1945
26,Airfix German Infantry (01705),1939,1942
27,Airfix Cowboys (01707),1850,1890
28,Airfix Indians (01708),1830,1870
29,Airfix 8th Army (01709),1939,1943
30,Airfix Union Infantry (01712),1861,1865
31,Airfix Wagon Train (01715),1850,1890
32,Airfix Russian Infantry (01717),1939,1945
33,Airfix Japanese Infantry (01718),1937,1945
34,Airfix Arabs (Bedouins) (01719),1900,1930
35,Airfix Robin Hood (01720),1100,1380
36,Airfix US Cavalry (01722),1865,1890
37,Airfix WWI French Infantry (01728),1915,1918
38,Airfix Tarzan Figures (01733),1910,1970
39,Airfix Ancient Britons (01734),-200,200
40,Airfix Waterloo French Cavalry (Cuirassiers) (01736),1804,1815
41,Airfix The High Chaparral (01738),1850,1890
42,Airfix Washington's Army (01739),1775,1783
43,Airfix British Grenadiers (01740),1765,1785
44,Airfix Waterloo French Infantry (01744),1812,1815
45,Airfix Waterloo British Infantry (01745),1812,1816
46,Airfix R.A.F. Personnel (01747),1939,1944
47,Airfix U.S.A.F. Personnel (01748),1940,1945
48,Airfix Australian Infantry (01750),1942,1945
49,Airfix German Paratroops (01753),1939,1945
50,Airfix Prussian Infantry 1815 (01756),1813,1815
51,Airfix Italian Infantry (01757),1940,1943
52,Airfix SAS (01761),1980,1985
53,Airfix Infantry Combat Group (1703),1939,1945
54,Airfix German Infantry (1705),1939,1945
55,Airfix 8th Army (1709),1940,1943
56,Atlantic 7th Cavalry (1004),1865,1890
57,Atlantic Kit Carson (1008),1840,1880
58,Atlantic Paratroopers (101),1960,1975
59,Atlantic Gold Rush (1010),1848,1890
60,Atlantic General Custer (1011),1875,1876
61,Atlantic Cow-Boys (1015),1850,1890
62,Atlantic Artillery (106),1960,1975
63,Atlantic Italian Bersaglieri (115),1960,1975
64,Atlantic Italian Carabinieri Police (116),1965,1972
65,Atlantic Commandos 'San Marco' (117),1960,1975
66,Atlantic Landing Craft Infantry (118),1970,1975
67,Atlantic Machine-Gunners and Mortars (119),1960,1974
68,Atlantic Anti-Tank Guns (120),1970,1975
69,Atlantic Heavy Mortars (122),1960,1975
70,Atlantic The Egyptian Army (1502),-2024,-1500
71,Atlantic The Egyptian Cavalry (1503),-1430,-1100
72,Atlantic Greek Life in the Acropolis (1508),-600,-200
73,Atlantic Greek Army (1509),-1300,-320
74,Atlantic Gladiators and Christians (1517),30,250
75,Atlantic German Infantry (81),1939,1943
76,Atlantic Royal Fusiliers (83),1939,1945
77,Atlantic Red Army (84),1940,1945
78,Atlantic Sendai Japanese (85),1938,1945
79,Atlantic Lenin - Stalin - Russian Revolution (9009),1917,1921
80,Emhar British WWI Infantry with Tank Crew (7201),1916,1918
81,Emhar German WWI Infantry with Tank Crew (7203),1916,1918
82,Emhar German WWI Artillery (7204),1916,1918
84,Esci British Soldiers (200),1941,1945
85,Esci German Soldiers (201),1933,1945
86,Esci U.S. Soldiers (202),1941,1945
87,Esci Russian Soldiers (203),1941,1945
88,Esci Japanese Soldiers (204),1938,1945
89,Esci French Soldiers (205),1944,1945
90,Esci British 8th Army Soldiers (207),1940,1943
91,Esci Italian Mountain Troops (211),1940,1943
92,Esci British Infantry (215),1812,1816
93,Esci 'Scots Greys' British Cavalry (217),1812,1815
94,Esci 'Polish Lancers' French Cavalry (218),1809,1815
95,Esci British and French Artillery (219),1810,1815
96,Esci Lord Cardigan's 11th Hussars (220),1840,1857
97,Esci Russian Infantry and Artillery (221),1850,1860
98,Esci Union Infantry (222),1861,1865
99,Esci Roman Legion (224),20,200
100,Esci Barbarian Warriors (225),-200,300
101,Esci Prussian and Austrian Infantry (226),1798,1808
102,Esci French Line Infantry (227),1806,1813
103,Esci U.S. Elite Forces (228),1962,1973
104,Esci North Vietnamese Soldiers and Vietcong (229),1947,1975
105,Esci British Light Dragoons (230),1813,1815
106,Esci British Artillery (233),1798,1815
107,Esci French Artillery (234),1810,1815
108,Esci French Cuirassiers (235),1812,1815
109,Esci Modern Russian Paratroopers Spetsnaz (240),1975,1985
110,Esci NATO Troops (241),1985,1989
111,Esci German Paratroopers 'Green Devils' (244),1940,1945
112,Gulliver South States Cavalry (3601),1861,1865
113,HaT Picts (6005),250,800
114,HaT Saxons (6006),150,600
115,HaT Franks (6007),150,500
116,HaT Visigoths (6008),370,550
117,HaT WW1 French Infantry (7003),1915,1918
118,HaT Waterloo Prussian Landwehr (7006),1813,1815
119,HaT Italian Infantry (7007),1937,1945
120,HaT Waterloo French Line Infantry (7008),1812,1815
121,HaT Ancient Britons (7011),-300,200
122,HaT Bedouins (7013),1860,1920
123,HaT Robin Hood (7015),1200,1450
124,HaT Australian Infantry (7016),1940,1945
125,HaT Jungle Adventure (7018),1910,1970
126,HaT 1805 Napoleonic French Mamelukes (8001),1799,1815
127,HaT Russian Cossacks (8006),1790,1840
128,HaT Prussian Artillery (8007),1808,1815
129,HaT Brunswick Avant Garde (8008),1814,1815
130,HaT Russian Artillery (8010),1812,1815
131,HaT French Lancers (8011),1811,1815
132,HaT French Horse Grenadiers (8013),1800,1814
133,HaT KGL Light Dragoons (8014),1812,1815
134,HaT Austrian Cuirassiers (8015),1798,1810
135,HaT Russian Cuirassiers (8016),1812,1815
136,HaT Republican Romans Princeps & Triari (8017),-265,-150
137,HaT Republican Romans Hastati & Velites (8018),-265,-150
138,HaT Roman Cavalry (8021),-270,-140
139,HaT Brunswick Leib Infantry (8026),1810,1815
140,HaT Bavarian Infantry (8028),1808,1815
141,HaT Bavarian Cavalry (8030),1799,1815
142,HaT Dutch Belgian Light Dragoons (8032),1814,1815
143,HaT Roman Catapults (8035),-300,-150
144,HaT British Light Infantry (8036),1800,1815
145,HaT Austrian Artillery (8037),1803,1814
146,HaT Bavarian Artillery (8038),1799,1815
147,HaT Macedonian Phalangites (8043),-350,-320
148,HaT Alexander's Light Infantry (8044),-350,-300
149,HaT Greek Mercenary Hoplites (8045),-350,-280
150,HaT Alexander's Thracians (8046),-350,-300
151,HaT Alexander's Macedonian Cavalry (8047),-350,-300
152,HaT Alexander's Thessalian Cavalry (8048),-350,-300
153,HaT Alexander's Allied Cavalry (8049),-380,-280
154,HaT Roman Command (8051),-300,-100
155,HaT Prussian Reserve Infantry (8052),1808,1815
156,HaT Prussian Jäger and Volunteer Jäger (8053),1809,1815
157,HaT Persian Light Infantry (8057),-550,-300
158,HaT Persian Heavy Infantry (8059),-350,-300
159,HaT Austrian Infantry (8060),1908,1918
160,HaT Russian Infantry (8061),1914,1918
161,HaT 1805 French Line Infantry (8062),1796,1806
162,HaT 1805 French Light Infantry (8063),1801,1812
163,HaT Imperial Roman Auxiliary Infantry (8065),40,160
164,HaT Persian Medium Cavalry (8076),-350,-300
165,HaT Imperial Roman Legionaries 1st - 2nd Century AD (8082),30,180
166,Heller German Infantry (79605),1936,1945
167,Heller British 8th Army (79609),1940,1943
168,Heller Japanese Infantry (79618),1937,1945
169,Heller RAF Personnel (79647),1939,1945
170,Heller U.S.A.A.F. Personnel (79648),1939,1945
171,Heller German Paratroopers (79653),1938,1945
172,HYTTY Samurai (1001),1500,1670
173,HYTTY Persians (1002),-525,-480
174,HYTTY Historic Figures (1003),-70,1960
175,HYTTY Carthaginian Mercenaries (1004),-800,-146
176,HYTTY Alexander The Great Cavalry (2003),-336,-320
177,IMEX Union Artillery (501),1861,1865
178,IMEX Confederate Artillery (502),1861,1865
179,IMEX Confederate Cavalry (504),1861,1865
180,IMEX Union Infantry (505),1861,1865
181,IMEX Confederate Infantry (506),1861,1865
182,IMEX Civil War Accessories (507),1861,1865
183,IMEX Alamo Defenders (aka Texas Infantry) (509),1830,1850
184,IMEX Mexican Infantry (510),1830,1840
185,IMEX George Washington's Army (511),1775,1783
186,IMEX British Redcoats (512),1768,1796
187,IMEX Mexican Cavalry At The Alamo (515),1835,1836
