ID,Header,Nationality_1,Nationality_2,Nationality_3,Nationality_4,Nationality_5,Nationality_6,Nationality_7,Nationality_8,Nationality_9,Nationality_10,Nationality_11
1,Accurate British Infantry (7200),British,,,,,,,,,,
2,Accurate American Militia (7201),USA,,,,,,,,,,
3,Accurate Union Infantry (7202),USA,,,,,,,,,,
4,Accurate Union Artillery Team (7204),USA,,,,,,,,,,
5,Accurate Union Pioneers (7205),USA,,,,,,,,,,
6,Accurate Hundred Years War English Men-At-Arms (7206),British,English,,,,,,,,,
7,Accurate Hundred Years War Knights Of France (7207),French,,,,,,,,,,
8,Accurate Confederate Artillery Team (7208),USA,,,,,,,,,,
9,Accurate Confederate Pioneers (7209),USA,,,,,,,,,,
10,Accurate Waterloo French Cavalry (7212),French,,,,,,,,,,
11,A Call To Arms British Infantry 1815 (50),British,,,,,,,,,,
12,A Call To Arms French Cuirassiers 1815 (51),French,,,,,,,,,,
13,A Call To Arms British Infantry World War II (52),British,,,,,,,,,,
14,A Call To Arms French Carabiniers 1815 (53),French,,,,,,,,,,
15,A Call To Arms Confederate Infantry 1861 (54),USA,,,,,,,,,,
16,A Call To Arms Union Infantry 1861 (55),USA,,,,,,,,,,
17,A Call To Arms Zulus (56),South African,Zulu,,,,,,,,,
18,A Call To Arms British Infantry Zulu War (57),British,,,,,,,,,,
19,A Call To Arms French Infantry 1815 (58),French,,,,,,,,,,
20,A Call To Arms Royalist Artillery (59),English,,,,,,,,,,
21,A Call To Arms Union Regiments (60),USA,,,,,,,,,,
22,A Call To Arms Royalist Infantry (61),British,English,,,,,,,,,
23,A Call To Arms English Civil War Command Set (62),British,English,,,,,,,,,
24,Airfix Guards Colour Party (01702),British,,,,,,,,,,
25,Airfix British Infantry (01703),British,,,,,,,,,,
26,Airfix German Infantry (01705),German,,,,,,,,,,
27,Airfix Cowboys (01707),USA,,,,,,,,,,
28,Airfix Indians (01708),USA,,,,,,,,,,
29,Airfix 8th Army (01709),British,,,,,,,,,,
30,Airfix Union Infantry (01712),USA,,,,,,,,,,
31,Airfix Wagon Train (01715),USA,,,,,,,,,,
32,Airfix Russian Infantry (01717),Russian,Soviet,,,,,,,,,
33,Airfix Japanese Infantry (01718),Japanese,,,,,,,,,,
34,Airfix Arabs (Bedouins) (01719),Arab,,,,,,,,,,
35,Airfix Robin Hood (01720),British,English,,,,,,,,,
36,Airfix US Cavalry (01722),USA,,,,,,,,,,
37,Airfix WWI French Infantry (01728),French,,,,,,,,,,
39,Airfix Ancient Britons (01734),British,Celtic,,,,,,,,,
40,Airfix Waterloo French Cavalry (Cuirassiers) (01736),French,,,,,,,,,,
41,Airfix The High Chaparral (01738),USA,,,,,,,,,,
42,Airfix Washington's Army (01739),USA,,,,,,,,,,
43,Airfix British Grenadiers (01740),British,,,,,,,,,,
44,Airfix Waterloo French Infantry (01744),French,,,,,,,,,,
45,Airfix Waterloo British Infantry (01745),British,,,,,,,,,,
46,Airfix R.A.F. Personnel (01747),British,,,,,,,,,,
47,Airfix U.S.A.F. Personnel (01748),USA,,,,,,,,,,
48,Airfix Australian Infantry (01750),Australian,,,,,,,,,,
49,Airfix German Paratroops (01753),German,,,,,,,,,,
50,Airfix Prussian Infantry 1815 (01756),German,Prussian,,,,,,,,,
51,Airfix Italian Infantry (01757),Italian,,,,,,,,,,
52,Airfix SAS (01761),British,,,,,,,,,,
53,Airfix Infantry Combat Group (1703),British,USA,,,,,,,,,
54,Airfix German Infantry (1705),German,,,,,,,,,,
55,Airfix 8th Army (1709),British,,,,,,,,,,
56,Atlantic 7th Cavalry (1004),USA,,,,,,,,,,
57,Atlantic Kit Carson (1008),USA,,,,,,,,,,
58,Atlantic Paratroopers (101),Italian,,,,,,,,,,
59,Atlantic Gold Rush (1010),USA,,,,,,,,,,
60,Atlantic General Custer (1011),USA,,,,,,,,,,
61,Atlantic Cow-Boys (1015),USA,,,,,,,,,,
63,Atlantic Italian Bersaglieri (115),Italian,,,,,,,,,,
64,Atlantic Italian Carabinieri Police (116),Italian,,,,,,,,,,
65,Atlantic Commandos 'San Marco' (117),Italian,,,,,,,,,,
66,Atlantic Landing Craft Infantry (118),Italian,,,,,,,,,,
67,Atlantic Machine-Gunners and Mortars (119),Italian,,,,,,,,,,
68,Atlantic Anti-Tank Guns (120),Italian,,,,,,,,,,
70,Atlantic The Egyptian Army (1502),Egyptian,,,,,,,,,,
71,Atlantic The Egyptian Cavalry (1503),Egyptian,,,,,,,,,,
72,Atlantic Greek Life in the Acropolis (1508),Greek,,,,,,,,,,
73,Atlantic Greek Army (1509),Greek,,,,,,,,,,
74,Atlantic Gladiators and Christians (1517),Italian,Roman,,,,,,,,,
75,Atlantic German Infantry (81),German,,,,,,,,,,
76,Atlantic Royal Fusiliers (83),British,,,,,,,,,,
77,Atlantic Red Army (84),Russian,Soviet,,,,,,,,,
78,Atlantic Sendai Japanese (85),Japanese,,,,,,,,,,
79,Atlantic Lenin - Stalin - Russian Revolution (9009),Russian,,,,,,,,,,
80,Emhar British WWI Infantry with Tank Crew (7201),British,,,,,,,,,,
81,Emhar German WWI Infantry with Tank Crew (7203),German,,,,,,,,,,
82,Emhar German WWI Artillery (7204),German,,,,,,,,,,
84,Esci British Soldiers (200),British,,,,,,,,,,
85,Esci German Soldiers (201),German,,,,,,,,,,
86,Esci U.S. Soldiers (202),USA,,,,,,,,,,
87,Esci Russian Soldiers (203),Russian,Soviet,,,,,,,,,
88,Esci Japanese Soldiers (204),Japanese,,,,,,,,,,
89,Esci French Soldiers (205),French,,,,,,,,,,
90,Esci British 8th Army Soldiers (207),British,,,,,,,,,,
91,Esci Italian Mountain Troops (211),Italian,,,,,,,,,,
92,Esci British Infantry (215),British,,,,,,,,,,
93,Esci 'Scots Greys' British Cavalry (217),British,,,,,,,,,,
94,Esci 'Polish Lancers' French Cavalry (218),French,Polish,,,,,,,,,
95,Esci British and French Artillery (219),British,French,,,,,,,,,
96,Esci Lord Cardigan's 11th Hussars (220),British,,,,,,,,,,
97,Esci Russian Infantry and Artillery (221),Russian,,,,,,,,,,
98,Esci Union Infantry (222),USA,,,,,,,,,,
