manufacturer,era,kit_count,avg_rating
Caesar,Древний мир,28,46.203126954346466
Zvezda,Древний мир,15,45.965562222801985
Linear-A,Древний мир,60,43.24300428402151
Valdemar,Средневековье,5,46.651904340124005
Zvezda,Средневековье,15,45.25537190082645
Caesar,Средневековье,10,44.099024041894786
Zvezda,Новое время,27,46.02511210762332
Accurate,Новое время,6,46.016666666666666
Revell,Новое время,18,45.385714285714286
Pegasus,Новейшее время,17,47.89473684210526
Preiser,Новейшее время,40,46.50931677018634
Caesar,Новейшее время,46,45.30028328611898
Revell,Современность,7,48.52777777777778
Preiser,Современность,11,46.875
Caesar,Современность,12,46.03389830508475
