nationality,manufacturer,kit_count,avg_rating
Albanian,Linear-A,3,42.76119402985075
Algerian,HaT,4,39.00758396533045
Almoravid,HaT,3,44.06825938566553
Andalusian,HaT,4,43.49013157894737
Anglo-Saxon,Strelets,4,42.62322274881517
Arab,Strelets,8,43.636986301369866
Assyrian,Linear-A,4,45.91519434628975
Assyrian,HaT,4,41.82686567164179
Australian,HaT,3,44.23076923076923
Australian,Strelets,6,41.44827586206897
Austrian,Revell,5,46.830882352941174
Austrian,Strelets,12,43.32121212121212
Austrian,HaT,18,41.73913043478261
Bavarian,Strelets,7,45.73684210526316
Bavarian,HaT,4,37.8
Belgian,HaT,6,29.31111111111111
Boer,Strelets,6,39.75714285714286
British,Emhar,5,46.917675544794186
British,Caesar,7,46.72665148063781
British,Revell,12,45.14772727272727
Brunswick,HaT,3,43.578947368421055
Burgundian,RedBox,3,38.84
Carthaginian,Linear-A,3,44.80612244897959
Carthaginian,Ultima Ratio,3,39.19130434782609
Carthaginian,HaT,5,37.99874371859296
CeltIberian,HaT,3,38.0
Celtic,HaT,6,41.30621172353456
Chinese,Caesar,5,47.58550185873606
Chinese,RedBox,6,38.18633540372671
Confederate,Strelets,8,42.25
Confederate,IMEX,3,38.333333333333336
Cossack,RedBox,4,46.25
Dacian,Strelets,6,41.52061855670103
Danish,Strelets,3,41.72985781990521
Dutch,Strelets,4,41.09361069836553
Dutch,HaT,3,40.5
Dutch,RedBox,3,38.87931034482759
Egyptian,Caesar,6,48.30757097791798
Egyptian,Linear-A,3,45.36150234741784
Egyptian,Atlantic,3,38.75491759702286
Epirote,Linear-A,3,42.76119402985075
Finnish,Strelets,4,41.285714285714285
Frankish,Caesar,3,46.022222222222226
Frankish,Strelets,3,36.669039145907476
French,Caesar,8,46.73946360153257
French,GerMan,4,46.63953488372093
French,Revell,6,45.834890965732086
German,Panzer vs Tanks,3,50.0
German,Pegasus,7,48.390243902439025
German,Preiser,38,46.950248756218905
Greek,Caesar,3,46.17350527549824
Greek,Linear-A,14,41.94915254237288
Greek,HaT,8,41.59448818897638
Hessian,HaT,3,42.0
Hungarian,Strelets,3,40.5
Indian,Coates & Shine,4,42.773159144893114
Indian,Strelets,3,42.58
Indian,HaT,3,42.53846153846154
Iraqi,Caesar,3,45.4070796460177
Iraqi,HaT,9,42.6007696007696
Irish,RedBox,3,41.8
Italian,Zvezda,4,46.10126582278481
Italian,Caesar,10,45.46511627906977
Italian,Esci,4,44.06122448979592
Japanese,Zvezda,3,47.0
Japanese,Strelets,11,41.618556701030926
Japanese,RedBox,12,38.290570175438596
Korean,RedBox,3,36.666666666666664
Lithuanian,Mars,7,34.48196721311476
Macedonian,HaT,4,40.02985074626866
Mexican,IMEX,4,40.30909090909091
Moroccan,Strelets,4,36.61904761904762
Norman,Strelets,10,43.60486111111111
North Korean,RedBox,3,36.666666666666664
Norwegian,Strelets,3,41.72985781990521
Persian,HaT,11,43.19198246163483
Persian,Linear-A,3,40.06024096385542
Polish,Strelets,7,43.25
Polish,Orion,6,41.52205350686913
Polish,First To Fight,13,38.04347826086956
Romanian,Strelets,7,41.45728643216081
Romanian,HaT,3,40.06993006993007
Russian,Pegasus,7,47.42857142857143
Russian,Plastic Soldier,4,46.27272727272727
Russian,Preiser,11,46.12244897959184
Sassanian,HaT,4,42.0
Scottish,RedBox,5,40.68595041322314
Scottish,Strelets,7,40.07102803738318
South African,Strelets,7,39.736111111111114
South African,HaT,7,39.30222222222222
South Korean,RedBox,3,36.666666666666664
South Vietnamese,Orion,3,40.15151515151515
Spanish,RedBox,9,43.23294117647059
Spanish,BUM,7,41.526315789473685
Spanish,GerMan,9,40.57142857142857
Sudanese,HaT,4,31.208615384615385
Swedish,Zvezda,4,45.867816091954026
Swedish,Strelets,8,41.55571227080395
Swedish,HaT,3,39.94444444444444
Swiss,RedBox,5,39.526315789473685
Syrian,Caesar,6,46.16783216783217
Syrian,Linear-A,4,46.08988764044944
Syrian,Strelets,3,43.760802469135804
Tatar,Mars,4,33.53086419753087
Teutonic,Mars,4,30.99014778325123
Tunisian,HaT,3,39.013409961685824
Turkish,Strelets,9,43.68591549295775
Turkish,Orion,5,42.07602339181287
Turkish,HaT,4,41.708333333333336
USA,Pegasus,4,49.357142857142854
USA,Preiser,6,46.25
USA,IMEX,18,45.5323275862069
Ukrainian,RedBox,8,44.75
Ukrainian,Orion,8,41.91019244476123
Ukrainian,Mars,5,35.08227848101266
Vietnamese,Orion,6,37.336633663366335
Viking,Strelets,3,41.72985781990521
W&uuml;rttemberg,HaT,3,45.333333333333336
Zulu,HaT,3,39.45669291338583
